"Month","Seconds"
"2013-01",716
"2013-02",718
"2013-03",708
"2013-04",723
"2013-05",693
"2013-06",729
"2013-07",743
"2013-08",746
"2013-09",754
"2013-10",713
"2013-11",727
"2013-12",738
"2014-01",774
"2014-02",750
"2014-03",714
"2014-04",706
"2014-05",695
"2014-06",648
"2014-07",645
"2014-08",669
"2014-09",666
"2014-10",669
"2014-11",670
"2014-12",674
"2015-01",671
"2015-02",681
"2015-03",669
"2015-04",670
"2015-05",611
"2015-06",564
"2015-07",622
"2015-08",622
"2015-09",614
"2015-10",611
"2015-11",604
"2015-12",599
"2016-01",629
"2016-02",637
"2016-03",647
"2016-04",659
"2016-05",656
"2016-06",665
"2016-07",670
"2016-08",665
"2016-09",662
"2016-10",660
"2016-11",661
"2016-12",687
"2017-01",660
"2017-02",657
"2017-03",652
"2017-04",617
"2017-05",613
"2017-06",599
"2017-07",585
"2017-08",581
"2017-09",560
"2017-10",578
"2017-11",580
"2017-12",572
"2018-01",567
"2018-02",563
"2018-03",557
"2018-04",568
"2018-05",543
"2018-06",536
"2018-07",536
"2018-08",535
"2018-09",528
"2018-10",525
"2018-11",525
"2018-12",545
"2019-01",530
"2019-02",524
"2019-03",521
"2019-04",522
"2019-05",516
"2019-06",512
"2019-07",505
"2019-08",504
"2019-09",511
"2019-10",493
"2019-11",496
"2019-12",497
"2020-01",492
"2020-02",498
"2020-03",502
"2020-04",495
"2020-05",475
"2020-06",480
"2020-07",473
"2020-08",470
"2020-09",466
"2020-10",462
"2020-11",495
"2020-12",492
"2021-01",492
"2021-02",489
"2021-03",478
"2021-04",477
"2021-05",475
"2021-06",470
"2021-07",466
"2021-08",484
"2021-09",463
"2021-10",468
"2021-11",459
"2021-12",461
"2022-01",457
"2022-02",457
"2022-03",458
"2022-04",460
"2022-05",471
"2022-06",459
"2022-07",464
"2022-08",458
"2022-09",457
"2022-10",474
"2022-11",453
"2022-12",457
"2023-01",464
"2023-02",461